organization_name,participants_COP28,participants_COP29,participants_total,is_insurance,website_url,search_method,content_source,processing_status,error_message,processed_at
GOVERNMENT OF ODISHA,2,0,2,False,https://en.wikipedia.org/wiki/Government_of_Odisha,wikipedia,wikipedia,completed,,2025-07-30T16:34:28.226248
Government of Kerala,2,0,2,False,https://en.wikipedia.org/wiki/Government_of_Kerala,wikipedia,wikipedia,completed,,2025-07-30T16:34:29.950741
Federation of Indian Chambers of Commerce and Industry,2,0,2,False,https://en.wikipedia.org/wiki/Federation_of_Indian_Chambers_of_Commerce_&_Industry,wikipedia,wikipedia,completed,,2025-07-30T16:34:31.556333
MINISTRY OF POWER,2,0,2,False,https://en.wikipedia.org/wiki/Ministry_of_Power_(India),wikipedia,wikipedia,completed,,2025-07-30T16:34:34.523095
Pahle India Foundation,2,0,2,False,http://pahleindia.org/,bing,website,completed,,2025-07-30T16:34:41.007473
FINTECH TV,2,0,2,False,https://www.watchfintechtv.com/about,bing,website,completed,,2025-07-30T16:34:45.021823
Zefiro Methane Corp.,2,0,2,False,https://www.zefiromethane.com/,bing,website,completed,,2025-07-30T16:34:50.229258
Water Unite,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Avatar:_The_Way_of_Water,2025-07-30T16:34:51.303455
APEAF,2,0,2,False,https://apeaf-mg.weebly.com/,bing,website,completed,,2025-07-30T16:34:53.133856
International Center for Advanced Mediterranean Agronomic Studies (CIHEAM),2,0,2,False,https://en.wikipedia.org/wiki/Mediterranean_Agronomic_Institute_of_Chania,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:34:54.979177
"Japan CCS Co., Ltd.",0,2,2,False,https://www.japan-guide.com/,bing,website,completed,,2025-07-30T16:34:59.957690
Bascule Inc.,0,2,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Johnson_Street_Bridge,2025-07-30T16:35:01.334903
TAISEI Corp.,0,2,2,False,https://en.wikipedia.org/wiki/Taisei_Corporation,wikipedia,wikipedia,completed,,2025-07-30T16:35:03.340377
"NOMURA MEDIAS Co.,Ltd.",1,1,2,False,https://en.wikipedia.org/wiki/Nomura_Holdings,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:35:06.523709
PR Consulting Dentsu Inc.,0,2,2,False,https://en.wikipedia.org/wiki/Sony,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:35:09.364652
African Carbon Partners,2,0,2,False,http://www.africacarbon.earth/,bing,website,completed,,2025-07-30T16:35:13.656700
State House,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Statehouse,2025-07-30T16:35:14.353472
Clean Technologies Limited,2,0,2,False,https://en.wikipedia.org/wiki/Zeekr,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:35:16.633514
Federal Ministry of Environment,2,0,2,False,https://en.wikipedia.org/wiki/Federal_Ministry_of_Environment_(Nigeria),wikipedia,wikipedia,completed,,2025-07-30T16:35:18.040014
NEA Energies Limited,2,0,2,False,https://en.wikipedia.org/wiki/National_Electrification_Administration,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:35:19.877857
Global Centre for Law Business and Economy,2,0,2,False,https://en.wikipedia.org/wiki/Economy_of_London,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:35:23.031666
Zebek International,0,2,2,False,https://en.wikipedia.org/wiki/Red_Data_Book_of_the_Russian_Federation,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:35:25.422089
The Commonwealth Secretariat,0,2,2,False,https://en.wikipedia.org/wiki/Commonwealth_Secretariat,wikipedia,wikipedia,completed,,2025-07-30T16:35:26.825771
Yanayi Haki Afriqya,0,2,2,,,,,failed,Não foi possível encontrar website para Yanayi Haki Afriqya,2025-07-30T16:35:27.458370
Government of Sikkim,2,0,2,False,https://en.wikipedia.org/wiki/Government_of_Sikkim,wikipedia,wikipedia,completed,,2025-07-30T16:35:28.929446
"Ministry of Science and technology, Government of India",2,0,2,False,https://en.wikipedia.org/wiki/Ministry_of_Science_and_Technology_(India),wikipedia,wikipedia,completed,,2025-07-30T16:35:31.909387
"United Nations Development Programme, India",2,0,2,False,https://en.wikipedia.org/wiki/United_Nations_Development_Programme,wikipedia,wikipedia,completed,,2025-07-30T16:35:34.395135
INCOIS,2,0,2,False,https://incois.gov.in/site/index.jsp,bing,website,completed,,2025-07-30T16:35:40.754380
Tata Steel Limited,2,0,2,False,https://en.wikipedia.org/wiki/Tata_Steel,wikipedia,wikipedia,completed,,2025-07-30T16:35:43.202823
Stamford University,1,1,2,False,https://en.wikipedia.org/wiki/University_of_Stamford,wikipedia,wikipedia,completed,,2025-07-30T16:35:45.945877
BARCIK,1,1,2,False,https://en.wikipedia.org/wiki/Miroslav_Barčík,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:35:47.653993
Ovibashi Karmi Unnayan Program (OKUP),1,1,2,,,,,failed,Não foi possível encontrar website para Ovibashi Karmi Unnayan Program (OKUP),2025-07-30T16:35:48.471915
WALHI National,0,2,2,False,https://en.wikipedia.org/wiki/Komodo_National_Park,wikipedia,wikipedia,completed,,2025-07-30T16:35:51.009349
Change Initiative,0,2,2,False,https://en.wikipedia.org/wiki/Initiatives_of_Change,wikipedia,wikipedia,completed,,2025-07-30T16:35:52.547052
Bellona Europa,0,2,2,False,https://en.wikipedia.org/wiki/Golden_Son,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:35:55.801456
Ministry of New & Renewable Energy,2,0,2,False,https://en.wikipedia.org/wiki/Ministry_of_New_and_Renewable_Energy,wikipedia,wikipedia,completed,,2025-07-30T16:35:58.634885
"Department of Environment, Climate Change & Forest",2,0,2,False,"https://en.wikipedia.org/wiki/Ministry_of_Environment,_Forest_and_Climate_Change",wikipedia,wikipedia,completed,,2025-07-30T16:36:00.927839
Battelle Memorial Institute,0,2,2,False,https://en.wikipedia.org/wiki/Battelle_Memorial_Institute,wikipedia,wikipedia,completed,,2025-07-30T16:36:02.473546
ICATALIST,0,2,2,,,,,failed,Não foi possível encontrar website para ICATALIST,2025-07-30T16:36:03.080648
Barcelona Centre for International Affairs,1,1,2,False,https://en.wikipedia.org/wiki/Barcelona_Centre_for_International_Affairs,wikipedia,wikipedia,completed,,2025-07-30T16:36:05.221720
Toyota Motor Co.,1,1,2,False,https://en.wikipedia.org/wiki/FAW_Toyota,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:36:08.375883
ACWA POWER,2,0,2,False,https://en.wikipedia.org/wiki/ACWA_Power,wikipedia,wikipedia,completed,,2025-07-30T16:36:08.524224
DFA Development Consulting,2,0,2,False,https://www.dfaconsultingservices.com/,bing,website,completed,,2025-07-30T16:36:11.564554
Oando Plc,2,0,2,False,https://en.wikipedia.org/wiki/Oando,wikipedia,wikipedia,completed,,2025-07-30T16:36:12.956993
Naigeria Army of Women Association,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Nigeria,2025-07-30T16:36:14.510693
Police Women Association,2,0,2,False,https://en.wikipedia.org/wiki/International_Association_of_Women_Police,wikipedia,wikipedia,completed,,2025-07-30T16:36:16.557880
Nigerian Institute of Transport Technology,2,0,2,False,https://www.nigerianseminarsandtrainings.com/tprovider/132/NIGERIAN-INSTITUTE-OF-TRANSPORT-TECHNOLOGY,bing,website,completed,,2025-07-30T16:36:22.864089
Bayelsa State Government,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Bayelsa_State,2025-07-30T16:36:23.604499
ACTUAL,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Actual,2025-07-30T16:36:24.059000
"Global Climate and Health Alliance, a project of the Social Good Fund",2,0,2,False,https://climateandhealthalliance.org/,bing,website,completed,,2025-07-30T16:36:35.496035
Global Challenges Foundation,2,0,2,False,https://en.wikipedia.org/wiki/Global_Challenges_Foundation,wikipedia,wikipedia,completed,,2025-07-30T16:36:36.872127
CRH GROUP SERVICES LTD,2,0,2,False,https://en.wikipedia.org/wiki/CRH_(company),wikipedia,wikipedia,completed,,2025-07-30T16:36:40.036186
Dynamique des Groupes des Peuples Autochtones (DGPA),1,1,2,False,https://peuplesautochtones.cd/repalef-2/dgpa/,bing,website,completed,,2025-07-30T16:36:44.138002
Fondation Bijoux Ngefa,1,1,2,,,,,failed,Não foi possível encontrar website para Fondation Bijoux Ngefa,2025-07-30T16:36:44.736853
PKA A/S,0,2,2,False,https://en.wikipedia.org/wiki/Protein_kinase_A,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:36:47.654729
"Velliv, Pension & Livsforsikring A/S",0,2,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://pensionsportal.velliv.dk/,2025-07-30T16:36:49.760924
Global Solar Council *,2,0,2,False,https://www.globalsolarcouncil.org/,bing,website,completed,,2025-07-30T16:36:54.917860
planetive,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Planet,2025-07-30T16:36:57.319065
The Icelandic Young Environmentalist Association,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Iceland,2025-07-30T16:36:58.559327
Geledés - Black Women Institute,0,2,2,False,https://en.wikipedia.org/wiki/Geledés_-_Black_Women's_Institute,wikipedia,wikipedia,completed,,2025-07-30T16:37:00.396852
We Are Family Foundation (WAFF),2,0,2,False,https://en.wikipedia.org/wiki/We_Are_Family_Foundation,wikipedia,wikipedia,completed,,2025-07-30T16:37:01.693258
The New York Climate Exchange,2,0,2,False,https://nyclimateexchange.org/,bing,website,completed,,2025-07-30T16:37:06.390179
"Global Greengrants Fund, Inc.",2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://www.greengrants.org/,2025-07-30T16:37:07.595407
Global Fellowship,2,0,2,False,https://en.wikipedia.org/wiki/Global_Fellowship_of_Confessing_Anglicans,wikipedia,wikipedia,completed,,2025-07-30T16:37:09.193738
Societe Civile Environnementale et Agro-Rurale du Congo*,0,2,2,,,,,failed,Não foi possível encontrar website para Societe Civile Environnementale et Agro-Rurale du Congo*,2025-07-30T16:37:09.782772
FLSmidth,1,1,2,False,https://en.wikipedia.org/wiki/FLSmidth,wikipedia,wikipedia,completed,,2025-07-30T16:37:11.857903
Global Ethical Finance Initiative,2,0,2,False,https://www.globalethicalfinance.org/,bing,website,completed,,2025-07-30T16:37:16.032842
Both ENDS Foundation,1,1,2,False,https://en.wikipedia.org/wiki/Wikimedia_Foundation,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:37:18.102999
British university,2,0,2,False,https://www.thecompleteuniversityguide.co.uk/league-tables/rankings,bing,website,completed,,2025-07-30T16:37:25.890099
Organization for Security and Co-operation in Europe *,2,0,2,False,https://en.wikipedia.org/wiki/Organization_for_Security_and_Co-operation_in_Europe,wikipedia,wikipedia,completed,,2025-07-30T16:37:29.184571
Fresque du climat,2,0,2,False,https://en.wikipedia.org/wiki/The_Climate_Fresk,wikipedia,wikipedia,completed,,2025-07-30T16:37:31.165751
Sompo Japan Insurance Inc.,0,2,2,True,https://en.wikipedia.org/wiki/Sompo_Japan,wikipedia,wikipedia,completed,,2025-07-30T16:37:33.218189
World Energy,2,0,2,False,https://en.wikipedia.org/wiki/World_energy_supply_and_consumption,wikipedia,wikipedia,completed,,2025-07-30T16:37:34.722793
Deutsche Börse Group,2,0,2,False,https://en.wikipedia.org/wiki/Deutsche_Börse,wikipedia,wikipedia,completed,,2025-07-30T16:37:36.118821
U.S. Grains Council,2,0,2,False,https://grains.org/,bing,website,completed,,2025-07-30T16:37:41.771206
ICS,0,2,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/ICS,2025-07-30T16:37:42.617275
Agriculture and Horticulture Development Board,0,2,2,False,https://en.wikipedia.org/wiki/Agriculture_and_Horticulture_Development_Board,wikipedia,wikipedia,completed,,2025-07-30T16:37:44.856144
British Meat Processors Association,1,1,2,False,https://en.wikipedia.org/wiki/British_Meat_Processors_Association,wikipedia,wikipedia,completed,,2025-07-30T16:37:47.145603
Jubilee South Asia Pacific Movement Inc. (APMDD),0,2,2,,,,,failed,Não foi possível encontrar website para Jubilee South Asia Pacific Movement Inc. (APMDD),2025-07-30T16:37:47.842008
Arctic Green Energy,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://www.arcticgreen.com/,2025-07-30T16:37:51.441478
Running Tide,2,0,2,False,https://en.wikipedia.org/wiki/1992_Alabama_Crimson_Tide_football_team,wikipedia,wikipedia,completed,,2025-07-30T16:37:53.983600
Svarmi,2,0,2,False,https://www.svarmi.com/,bing,website,completed,,2025-07-30T16:37:56.969780
Global Infrastructure Basel Foundation,2,0,2,False,https://en.wikipedia.org/wiki/Global_Infrastructure_Basel_Foundation,wikipedia,wikipedia,completed,,2025-07-30T16:37:58.958989
Global One 2015 *,2,0,2,False,https://globalone.org.uk/contact-us/,bing,website,completed,,2025-07-30T16:38:08.202537
Global Network of Civil Society Organisation for Disaster Reduction,2,0,2,False,https://en.wikipedia.org/wiki/Disaster_response,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:38:11.367282
FPIC,0,2,2,False,"https://en.wikipedia.org/wiki/Free,_prior_and_informed_consent",wikipedia_fallback,wikipedia,completed,,2025-07-30T16:38:13.404705
AID & RES,0,2,2,False,https://en.wikipedia.org/wiki/Live_Aid,wikipedia,wikipedia,completed,,2025-07-30T16:38:15.677802
EY-Parthenon,2,0,2,False,https://en.wikipedia.org/wiki/EY-Parthenon,wikipedia,wikipedia,completed,,2025-07-30T16:38:17.057410
Galvanize Climate Solutions,2,0,2,False,https://galvanizeclimate.com/,bing,website,completed,,2025-07-30T16:38:19.826546
AFSA,1,1,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/AFSA,2025-07-30T16:38:20.756899
Plan International International,1,1,2,False,https://en.wikipedia.org/wiki/Plan_International,wikipedia,wikipedia,completed,,2025-07-30T16:38:23.091909
Green Arena Limited,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Etihad_Arena,2025-07-30T16:38:23.796437
Modern Energy Group,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Energy,2025-07-30T16:38:25.533346
Electric Motor Vehicle Company,2,0,2,False,https://en.wikipedia.org/wiki/Baker_Motor_Vehicle,wikipedia,wikipedia,completed,,2025-07-30T16:38:27.639877
Vitol,2,0,2,False,https://en.wikipedia.org/wiki/Vitol,wikipedia,wikipedia,completed,,2025-07-30T16:38:28.949459
Connect Earth,2,0,2,False,https://en.wikipedia.org/wiki/Earth_tone,wikipedia,wikipedia,completed,,2025-07-30T16:38:31.007775
Sasakawa Africa Association,1,1,2,False,https://en.wikipedia.org/wiki/Ryōichi_Sasakawa,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:38:33.730884
Inter Religious Council of Uganda,1,1,2,False,https://en.wikipedia.org/wiki/Uganda_Muslim_Supreme_Council,wikipedia,wikipedia,completed,,2025-07-30T16:38:35.594175
Rural Gender and Development Association,1,1,2,False,https://en.wikipedia.org/wiki/Gender_and_development,wikipedia,wikipedia,completed,,2025-07-30T16:38:39.085153
UN Global Compact Norway,2,0,2,False,https://unglobalcompact.org/engage-locally/europe/norway,bing,website,completed,,2025-07-30T16:38:43.657212
"arab academy for science, technology and maritime transport",2,0,2,False,"https://en.wikipedia.org/wiki/Arab_Academy_for_Science,_Technology_and_Maritime_Transport",wikipedia,wikipedia,completed,,2025-07-30T16:38:43.658443
Arab water council,2,0,2,False,https://en.wikipedia.org/wiki/Gulf_Cooperation_Council,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:38:43.821153
Service Now,2,0,2,False,https://en.wikipedia.org/wiki/ServiceNow,wikipedia,wikipedia,completed,,2025-07-30T16:38:45.310408
T. Rowe Price,2,0,2,False,https://en.wikipedia.org/wiki/T._Rowe_Price,wikipedia,wikipedia,completed,,2025-07-30T16:38:46.782151
FTV Prima,0,2,2,False,https://en.wikipedia.org/wiki/Prima_televize,wikipedia,wikipedia,completed,,2025-07-30T16:38:49.336712
AFP,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/AFP,2025-07-30T16:38:49.789923
Cathay Financial Holding,2,0,2,True,https://www.cathayholdings.com/holdings/eng/home,bing,website,completed,,2025-07-30T16:38:56.717178
Secretariat of State,2,0,2,False,https://en.wikipedia.org/wiki/Secretary_of_state,wikipedia,wikipedia,completed,,2025-07-30T16:38:58.113241
ITRI USA,2,0,2,False,https://itri.com/,bing,website,completed,,2025-07-30T16:39:02.348396
Global Wind Energy Council (GWEC),2,0,2,False,https://en.wikipedia.org/wiki/Global_Wind_Energy_Council,wikipedia,wikipedia,completed,,2025-07-30T16:39:03.640791
American Clean Power Association,2,0,2,False,https://cleanpower.org/,bing,website,completed,,2025-07-30T16:39:08.122461
Global Sustainable Electricity Partnership (GSEP),2,0,2,False,https://www.globalelectricity.org/,bing,website,completed,,2025-07-30T16:39:11.592895
Technical University of Munich,2,0,2,False,https://en.wikipedia.org/wiki/Technical_University_of_Munich,wikipedia,wikipedia,completed,,2025-07-30T16:39:13.876212
Grace Richardson Fund,2,0,2,False,http://rrrichardson.com/,bing,website,completed,,2025-07-30T16:39:17.390688
Femmes Sans Frontier,0,2,2,False,https://en.wikipedia.org/wiki/Marcelle_Tiard,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:39:20.181313
SPGI Commodity Insights,2,0,2,False,https://en.wikipedia.org/wiki/S&P_Global_Commodity_Insights,wikipedia,wikipedia,completed,,2025-07-30T16:39:21.661766
Bridge That Gap Hope for Africa Initiative,0,2,2,False,https://www.bridgebase.com/,bing,website,completed,,2025-07-30T16:39:27.771187
Sacramento Municipal Utility District (SMUD),1,1,2,False,https://en.wikipedia.org/wiki/Sacramento_Municipal_Utility_District,wikipedia,wikipedia,completed,,2025-07-30T16:39:29.979245
Aspen Technology,1,1,2,False,https://en.wikipedia.org/wiki/Aspen_Technology,wikipedia,wikipedia,completed,,2025-07-30T16:39:31.796292
Built by Nature,1,1,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Ric_Flair,2025-07-30T16:39:33.781846
non Gouvernement,2,0,2,False,https://en.wikipedia.org/wiki/List_of_national_capitals,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:39:36.418328
AP - Reuters Pool TV,2,0,2,False,https://en.wikipedia.org/wiki/Reuters,wikipedia,wikipedia,completed,,2025-07-30T16:39:38.196087
CIC,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/CIC,2025-07-30T16:39:38.668126
KTO,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/KTO,2025-07-30T16:39:39.091166
PAMSA,1,1,2,False,https://en.wikipedia.org/wiki/Roselyn_Ngissah,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:39:41.788250
"Mars, Inc.",1,1,2,False,https://en.wikipedia.org/wiki/Mars_Inc.,wikipedia,wikipedia,completed,,2025-07-30T16:39:43.224535
Prasiddhi Forest Foundation,2,0,2,False,https://prasiddhiforest.org/,bing,website,completed,,2025-07-30T16:39:48.780652
GEI,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/GEI,2025-07-30T16:39:49.228207
Green Council,2,0,2,False,https://en.wikipedia.org/wiki/The_Green_Council,wikipedia,wikipedia,completed,,2025-07-30T16:39:50.937043
Green Club,2,0,2,False,https://en.wikipedia.org/wiki/Green_Ribbon_Club,wikipedia,wikipedia,completed,,2025-07-30T16:39:52.628002
Pueblo Action Alliance,2,0,2,False,https://www.puebloactionalliance.org/,bing,website,completed,,2025-07-30T16:39:56.046154
ENVIROFIT INTERNATIONAL,2,0,2,False,https://en.wikipedia.org/wiki/Envirofit_International,wikipedia,wikipedia,completed,,2025-07-30T16:39:57.417794
New Alpha Community Development Corporation,2,0,2,False,https://www.newalphacdc.com/,bing,website,completed,,2025-07-30T16:40:07.210925
Azure Alliance,2,0,2,False,https://azurealliance.org/?lang=en,bing,website,completed,,2025-07-30T16:40:10.022524
GreenCape,2,0,2,False,https://greencape.co.za/,bing,website,completed,,2025-07-30T16:40:15.362203
Ivoire Forest Groupe,1,1,2,False,https://en.wikipedia.org/wiki/Abidjan,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:40:18.153021
Guangdong Radio and Television Station Guangdong Satellite TV Channel,0,2,2,False,https://en.wikipedia.org/wiki/Guangdong_Radio_and_Television,wikipedia,wikipedia,completed,,2025-07-30T16:40:20.408588
Deeprock Carbon,1,1,2,,,,,failed,Não foi possível encontrar website para Deeprock Carbon,2025-07-30T16:40:21.077885
DeepRock Group,1,1,2,False,https://en.wikipedia.org/wiki/Buddha_Bar_compilation_albums,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:40:21.078825
"Guangdong Mentech Technology Co., Ltd",0,2,2,False,https://www.mentech.com/about_mentech.html,bing,website,completed,,2025-07-30T16:40:28.117588
Mondelez,2,0,2,False,https://en.wikipedia.org/wiki/Mondelez_International,wikipedia,wikipedia,completed,,2025-07-30T16:40:30.173495
Nordic Environment Finance Corporation,2,0,2,False,https://en.wikipedia.org/wiki/Nordic_Investment_Bank,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:40:32.284021
ENC TOURS LLC,0,2,2,False,https://en.wikipedia.org/wiki/Eastern_Nazarene_College,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:40:35.666900
Norwegian Energy Partners (NORWEP),2,0,2,,,,,failed,Não foi possível encontrar website para Norwegian Energy Partners (NORWEP),2025-07-30T16:40:36.282397
Det Norske Veritas (DNV),2,0,2,False,https://www.detnorskeveritas.com/,bing,website,completed,,2025-07-30T16:40:40.033242
Freyr Battery,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://ir.freyrbattery.com/ir-news/press-releases/news-details/2025/FREYR-Battery-Rebrands-as-T1-Energy/default.aspx,2025-07-30T16:41:27.002859
World Renew,1,1,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Girl_Meets_World,2025-07-30T16:41:27.708842
Forum for Women in Democracy (FOWODE),0,2,2,False,https://en.wikipedia.org/wiki/Patricia_Munabi_Babiiha,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:41:30.182136
Sky News Arabia,2,0,2,False,https://en.wikipedia.org/wiki/Sky_News_Arabia,wikipedia,wikipedia,completed,,2025-07-30T16:41:32.323607
MDE,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/MDE,2025-07-30T16:41:32.746047
Privé,2,0,2,False,https://en.wikipedia.org/wiki/Privé,wikipedia,wikipedia,completed,,2025-07-30T16:41:34.800801
Non Gouvernement,2,0,2,False,https://en.wikipedia.org/wiki/List_of_national_capitals,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:41:34.930494
National and Kapodistrian University of Athens,2,0,2,False,https://en.wikipedia.org/wiki/National_and_Kapodistrian_University_of_Athens,wikipedia,wikipedia,completed,,2025-07-30T16:41:37.037790
Hellenic (Greek) Parliament,2,0,2,False,https://en.wikipedia.org/wiki/Hellenic_Parliament,wikipedia,wikipedia,completed,,2025-07-30T16:41:40.501987
Copenhagen Infrastructure Partners (CIP),2,0,2,False,https://en.wikipedia.org/wiki/Copenhagen_Infrastructure_Partners,wikipedia,wikipedia,completed,,2025-07-30T16:41:41.842720
City of Athens,2,0,2,False,https://en.wikipedia.org/wiki/Athens,wikipedia,wikipedia,completed,,2025-07-30T16:41:43.625360
"Deep Rock Development (Shenzhen) Co., Ltd.",0,2,2,False,https://en.wikipedia.org/wiki/DJI,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:41:45.767709
Shanghai American School,1,1,2,False,https://en.wikipedia.org/wiki/Shanghai_American_School,wikipedia,wikipedia,completed,,2025-07-30T16:41:48.037863
Greenway International Foundation *,2,0,2,False,https://greenwayin.org/,bing,website,completed,,2025-07-30T16:41:54.584927
Greenriver Environmental Protection Promotion Association of Sichuan,2,0,2,,,,,failed,Não foi possível encontrar website para Greenriver Environmental Protection Promotion Association of Sichuan,2025-07-30T16:41:55.327843
Fundo Brasil,2,0,2,False,https://en.wikipedia.org/wiki/Passo_Fundo,wikipedia,wikipedia,completed,,2025-07-30T16:41:56.806312
ONG Reve Africa,0,2,2,False,https://en.wikipedia.org/wiki/Jean-Luc_Mélenchon,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:41:59.124123
Government of the Republic of Croatia,0,2,2,False,https://en.wikipedia.org/wiki/Government_of_Croatia,wikipedia,wikipedia,completed,,2025-07-30T16:42:01.586628
ONG Internationale Sauvons l'Environnement,0,2,2,,,,,failed,Não foi possível encontrar website para ONG Internationale Sauvons l'Environnement,2025-07-30T16:42:02.266005
Ground Truth Solutions - Organisation for Strengthening Accountability in Humanitarian Aid *,2,0,2,False,https://www.groundtruthsolutions.org/,bing,website,completed,,2025-07-30T16:42:06.116087
SNAM SpA,2,0,2,False,https://en.wikipedia.org/wiki/Snam,wikipedia,wikipedia,completed,,2025-07-30T16:42:06.118225
Seanergy Maritime,2,0,2,False,https://www.seanergymaritime.com/en,bing,website,completed,,2025-07-30T16:42:09.209838
Asociación Guatemalteca de Alcaldes y Autoridades Indígenas,2,0,2,,,,,failed,Não foi possível encontrar website para Asociación Guatemalteca de Alcaldes y Autoridades Indígenas,2025-07-30T16:42:09.942553
AGNES,1,1,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Agnes,2025-07-30T16:42:10.730651
Coventry University,1,1,2,False,https://en.wikipedia.org/wiki/Coventry_University,wikipedia,wikipedia,completed,,2025-07-30T16:42:12.908892
Climate Change Adaptation Innovation (CHAI),1,1,2,False,https://en.wikipedia.org/wiki/Cap-and-Invest_(Washington_state),wikipedia_fallback,wikipedia,completed,,2025-07-30T16:42:15.663648
"Norwegian Ministry of Trade, Industry and Finance",2,0,2,False,https://en.wikipedia.org/wiki/Ministry_of_Trade_and_Industry,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:42:17.607918
Bellona,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Bellona,2025-07-30T16:42:18.066142
NHO,2,0,2,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/NHO,2025-07-30T16:42:18.487546
Aker Horizons ASA,2,0,2,False,https://en.wikipedia.org/wiki/Aker_ASA,wikipedia,wikipedia,completed,,2025-07-30T16:42:20.402896
IC Holding,1,1,2,False,https://en.wikipedia.org/wiki/IC_Holding,wikipedia,wikipedia,completed,,2025-07-30T16:42:22.881320
OMÜD Corrugated Board Manufacturers Association,1,1,2,,,,,failed,Não foi possível encontrar website para OMÜD Corrugated Board Manufacturers Association,2025-07-30T16:42:23.622248
Turkish Standards Institution,1,1,2,False,https://en.wikipedia.org/wiki/Turkish_Standards_Institution,wikipedia,wikipedia,completed,,2025-07-30T16:42:26.188814
GSD Africa,0,2,2,False,https://en.wikipedia.org/wiki/Harvard_Graduate_School_of_Design,wikipedia_fallback,wikipedia,completed,,2025-07-30T16:42:28.727237
Inter Religious COuncil of Uganda,0,2,2,False,https://en.wikipedia.org/wiki/Uganda_Muslim_Supreme_Council,wikipedia,wikipedia,completed,,2025-07-30T16:42:28.729678
Water for People,1,1,2,False,https://en.wikipedia.org/wiki/Water_For_People,wikipedia,wikipedia,completed,,2025-07-30T16:42:30.667077
